"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent above 0","Percent above 0.1","Percent above 0.2","subset"
"Albarracin S5, all",9,"0.07 [0.01, 0.12]","2e-02",0,0.06,0.98,"100","0","0","all"
"Albarracin S5, RP:P",1,"0.04 [-0.04, 0.12]","0.34",0,0.05,0.96,"100","0","0","RP:P"
"Albarracin S5, Revised",8,"0.09 [0.03, 0.14]","7e-03",0,0.08,0.98,"100","0","0","Revised"
"Albarracin S7, all",14,"-0.01 [-0.11, 0.08]","0.75",0.11,0.15,0.75,"50 [0, 71]","21 [0, 64]","0","all"
"Albarracin S7, RP:P",7,"0.01 [-0.17, 0.20]","0.85",0.14,0.3,0.61,"57 [0, 86]","29 [0, 57]","14 [0, 71]","RP:P"
"Albarracin S7, Revised",7,"-0.06 [-0.17, 0.06]","0.25",0.07,0.04,0.81,"43 [0, 86]","0","0","Revised"
"Crosby, all",6,"0.14 [0.07, 0.21]","4e-03",0,0.62,0.82,"100","100","0","all"
"Crosby, RP:P",3,"0.15 [-0.01, 0.30]","5e-02",0,0.64,0.8,"100","100","0","RP:P"
"Crosby, Revised",3,"0.14 [-0.09, 0.36]","0.12",0,0.61,0.75,"100","100","0","Revised"
"Forster, all",16,"0.09 [0.06, 0.12]","< 1e-04",0,0,1,"100","0","0","all"
"Forster, RP:P",8,"0.07 [0.05, 0.08]","< 1e-04",0,0,1,"100","0","0","RP:P"
"Forster, Revised",8,"0.12 [0.07, 0.17]","1e-03",0,0,1,"100","100","0","Revised"
"LoBue, all",8,"0.02 [-0.06, 0.11]","0.51",0,0,1,"100","0","0","all"
"LoBue, RP:P",4,"0.01 [-0.22, 0.24]","0.91",0.05,0,0.98,"50 [0, 100]","0","0","RP:P"
"LoBue, Revised",4,"0.04 [-0.03, 0.10]","0.16",0,0,1,"100","0","0","Revised"
"Payne, all",8,"-0.06 [-0.21, 0.09]","0.39",0.16,0.05,0.82,"38 [0, 62]","25 [0, 50]","0","all"
"Payne, RP:P",4,"0.05 [-0.13, 0.22]","0.46",0.07,0.03,0.94,"75 [0, 100]","50 [0, 100]","0","RP:P"
"Payne, Revised",4,"-0.16 [-0.43, 0.14]","0.19",0.17,0.02,0.73,"25 [0, 50]","0","0","Revised"
"Risen, all",5,"-0.04 [-0.14, 0.07]","0.20",0,0.02,0.96,"0","0","0","all"
"Risen, RP:P",1,"-0.04 [-0.08, -0.01]","2e-02",0,0.01,0.95,"0","0","0","RP:P"
"Risen, Revised",4,"-0.01 [-0.18, 0.16]","0.86",0.01,0.06,0.83,"25 [0, 100]","0","0","Revised"
"Shnabel, all",16,"0.06 [0.02, 0.09]","9e-03",0,0.04,0.99,"100","0","0","all"
"Shnabel, RP:P",8,"0.02 [-0.03, 0.08]","0.38",0,0.02,0.98,"100","0","0","RP:P"
"Shnabel, Revised",8,"0.09 [0.03, 0.14]","8e-03",0,0.08,0.98,"100","0","0","Revised"
"van Dijk, all",10,"0.11 [0.00, 0.21]","5e-02",0.05,0.02,0.99,"100","70 [0, 100]","0","all"
"van Dijk, RP:P",6,"0.07 [-0.06, 0.19]","0.23",0.01,0,1,"100","0","0","RP:P"
"van Dijk, Revised",4,"0.23 [-0.02, 0.46]","6e-02",0,0.2,0.97,"100","100","100","Revised"
"Vohs, all",9,"0.04 [-0.06, 0.15]","0.37",0.07,0.02,0.98,"78","22 [0, 100]","0","all"
"Vohs, RP:P",4,"0.04 [-0.15, 0.23]","0.54",0,0.01,0.98,"100","0","0","RP:P"
"Vohs, Revised",5,"0.05 [-0.16, 0.25]","0.54",0.12,0.04,0.93,"80","20 [0, 100]","0","Revised"
